Lon_dec,Lat_dec,Year,Scientific_name,Original_scientific_name,Depth_min,Depth_max,SST,Genus,Species,Year_extra,Month,Day
126.558,8.45,1968,Pyrosoma,"Pyrosoma",0,153,29.04,Pyrosoma,,1968,NaN,NaN
103.83,1.215,1969,Pyrosoma,"Pyrosoma",0,0,29.18,Pyrosoma,,1969,NaN,NaN
128.1,6.758,1969,Pyrosoma,"Pyrosoma",0,150,29.2,Pyrosoma,,1969,NaN,NaN
173.273,-44.312167,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",233,236,11.61,Pyrosoma,Pyrosoma atlanticum,2016,4,29
122.32,15.67,1969,Pyrosoma,"Pyrosoma",0,150,28.63,Pyrosoma,,1969,NaN,NaN
128.1,6.758,1969,Pyrosoma,"Pyrosoma",0,150,29.2,Pyrosoma,,1969,NaN,NaN
100.83,11.33,1968,Pyrosoma,"Pyrosoma",0,0,29.26,Pyrosoma,,1968,NaN,NaN
129.1,6.742,1968,Pyrosoma,"Pyrosoma",0,150,29.16,Pyrosoma,,1968,NaN,NaN
122.9,19.5,1968,Pyrosoma,"Pyrosoma",0,146,28.09,Pyrosoma,,1968,NaN,NaN
125.06,13.642,1969,Pyrosoma,"Pyrosoma",0,150,28.94,Pyrosoma,,1969,NaN,NaN
126.458,9.11,1968,Pyrosoma,"Pyrosoma",0,155,29.06,Pyrosoma,,1968,NaN,NaN
123.98,13.75,1969,Pyrosoma,"Pyrosoma",0,60.09,28.69,Pyrosoma,,1969,NaN,NaN
103.83,1.215,1970,Pyrosoma,"Pyrosoma",0,0,29.18,Pyrosoma,,1970,NaN,NaN
103.83,1.215,1970,Pyrosoma,"Pyrosoma",0,0,29.18,Pyrosoma,,1970,NaN,NaN
129.625,12.85,1969,Pyrosoma,"Pyrosoma",0,150,29.04,Pyrosoma,,1969,NaN,NaN
130.1,4.32,1968,Pyrosoma,"Pyrosoma",0,149,29.27,Pyrosoma,,1968,NaN,NaN
123.42,14.22,1969,Pyrosoma,"Pyrosoma",0,40,28.67,Pyrosoma,,1969,NaN,NaN
103.83,1.215,1969,Pyrosoma,"Pyrosoma",0,0,29.18,Pyrosoma,,1969,NaN,NaN
-158.5,20.205,1950,Pyrosomatidae,"Pyrosomatidae",0,150,25.8,,,1950,NaN,NaN
103.83,1.215,1970,Pyrosoma,"Pyrosoma",0,0,29.18,Pyrosoma,,1970,NaN,NaN
126.48,7.97,1968,Pyrosoma,"Pyrosoma",0,28,29.01,Pyrosoma,,1968,NaN,NaN
-128.621083,51.74935,2017,Pyrosoma,"Pyrosoma",93.3,105.4,10.21,Pyrosoma,,NaN,NaN,NaN
84.17,9.1,1964,Pyrosomatidae,"Pyrosomatidae",0,200,28.93,,,1964,NaN,NaN
172.776833,-43.980333,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",49,58,12.47,Pyrosoma,Pyrosoma atlanticum,2016,5,2
-128.590466,51.7483,2017,Pyrosoma,"Pyrosoma",142.4,147.9,10.21,Pyrosoma,,NaN,NaN,NaN
172.5145,-44.186167,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",62,65,12.39,Pyrosoma,Pyrosoma atlanticum,2016,5,2
57.98,3.98,1964,Pyrosomatidae,"Pyrosomatidae",0,200,28.72,,,1964,NaN,NaN
89,8.5,1963,Pyrosomatidae,"Pyrosomatidae",0,200,28.91,,,1963,NaN,NaN
-130.352666,52.3855,2017,Pyrosoma,"Pyrosoma",297.6,300.4,10.22,Pyrosoma,,NaN,NaN,NaN
175.971333,-43.405667,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",NaN,NaN,13.3,Pyrosoma,Pyrosoma atlanticum,2016,9,21
177.54,-43.43,2014,Pyrosoma atlanticum,"Pyrosoma atlanticum",296,311,13.01,Pyrosoma,Pyrosoma atlanticum,2014,1,4
-128.843933,51.7381,2017,Pyrosoma,"Pyrosoma",60.9,69.4,10.26,Pyrosoma,,NaN,NaN,NaN
174.61,-42.92,2014,Pyrosoma atlanticum,"Pyrosoma atlanticum",908,911,13.42,Pyrosoma,Pyrosoma atlanticum,2014,1,25
174.4,-43.26,2014,Pyrosoma atlanticum,"Pyrosoma atlanticum",563,575,13.05,Pyrosoma,Pyrosoma atlanticum,2014,1,26
67.32,23.45,1964,Pyrosomatidae,"Pyrosomatidae",0,183,27.04,,,1964,NaN,NaN
-130.453766,52.3687,2017,Pyrosoma,"Pyrosoma",184.8,226.6,10.19,Pyrosoma,,NaN,NaN,NaN
94.32,3.1,1964,Pyrosomatidae,"Pyrosomatidae",0,199,29.44,,,1964,NaN,NaN
71.33,9.1,1963,Pyrosomatidae,"Pyrosomatidae",0,200,28.93,,,1963,NaN,NaN
179.3,-43.25,2014,Pyrosoma atlanticum,"Pyrosoma atlanticum",428,438,13.23,Pyrosoma,Pyrosoma atlanticum,2014,1,5
-179.54,-43.31,2014,Pyrosoma atlanticum,"Pyrosoma atlanticum",477,490,13.84,Pyrosoma,Pyrosoma atlanticum,2014,1,6
-130.481566,52.3319,2017,Pyrosoma,"Pyrosoma",181.5,188.1,10.19,Pyrosoma,,NaN,NaN,NaN
-178.73,-42.95,2014,Pyrosoma atlanticum,"Pyrosoma atlanticum",525,529,14.31,Pyrosoma,Pyrosoma atlanticum,2014,1,7
-178.23,-43.31,2014,Pyrosoma atlanticum,"Pyrosoma atlanticum",375,384,13.83,Pyrosoma,Pyrosoma atlanticum,2014,1,7
58,-2.88,1965,Pyrosomatidae,"Pyrosomatidae",0,203,28.7,,,1965,NaN,NaN
-128.685916,51.414433,2017,Pyrosoma,"Pyrosoma",211.8,215.1,10.33,Pyrosoma,,NaN,NaN,NaN
77,-3.98,1962,Pyrosomatidae,"Pyrosomatidae",0,200,29.02,,,1962,NaN,NaN
176.1,-42.84,2014,Pyrosoma atlanticum,"Pyrosoma atlanticum",626,636,14.03,Pyrosoma,Pyrosoma atlanticum,2014,1,3
-177.35,-42.98,2014,Pyrosoma atlanticum,"Pyrosoma atlanticum",533,573,14.26,Pyrosoma,Pyrosoma atlanticum,2014,1,9
-129.2766,51.883983,2017,Pyrosoma,"Pyrosoma",154.2,161.2,10.29,Pyrosoma,,NaN,NaN,NaN
-177.69,-43.78,2014,Pyrosoma atlanticum,"Pyrosoma atlanticum",383,386,13.26,Pyrosoma,Pyrosoma atlanticum,2014,1,12
